,Acc_ts,Acc_x,Acc_y,Acc_z,Gyro_ts,Gyro_x,Gyro_y,Gyro_z,Mag_ts,Mag_x,Mag_y,Mag_z
0,0.0,1.8671875,-0.25,-9.8359375,1.641,0.0,0.001953125,-0.001953125,-4.463,-9.8125,35.625,22.125
1,9.887,1.9140625,-0.23828125,-9.859375,11.574,0.0,0.001953125,-0.001953125,5.316000000000001,-10.125,36.3125,23.75
2,23.581,1.87890625,-0.2578125,-9.81640625,21.638,0.0,0.001953125,0.0,23.39,-9.4375,36.6875,21.3125
3,33.444,1.953125,-0.23046875,-9.859375,31.703000000000003,0.0,0.00390625,0.001953125,33.355000000000004,-9.8125,36.6875,22.9375
4,43.145,1.90625,-0.23046875,-9.8203125,41.603,0.0,0.00390625,0.001953125,43.052,-9.8125,36.0,23.3125
5,53.041,1.89453125,-0.27734375,-9.8125,51.704,0.0,0.001953125,0.0,52.948,-9.8125,36.0,22.5
6,62.916,1.98046875,-0.23828125,-9.80078125,61.574,0.0,0.001953125,0.0,63.02199999999999,-9.8125,36.375,22.5
7,72.76,1.84765625,-0.25,-9.890625,71.616,0.0,0.001953125,0.0,72.86800000000001,-10.5,35.625,22.125
8,82.645,1.9921875,-0.23828125,-9.82421875,81.307,-0.001953125,0.0,-0.001953125,82.755,-9.4375,35.25,22.9375
9,92.48,1.92578125,-0.19921875,-9.82421875,91.34,0.0,0.0,0.0,92.59100000000001,-9.4375,36.375,22.125
10,102.348,1.88671875,-0.25,-9.85546875,101.60600000000001,0.0,-0.001953125,0.0,102.458,-9.8125,35.625,22.9375
11,112.36,1.9453125,-0.23828125,-9.8515625,111.526,0.0,-0.001953125,0.0,112.467,-9.4375,35.625,22.9375
12,122.203,1.87890625,-0.25,-9.8359375,121.686,0.0,-0.001953125,0.0,122.209,-10.125,36.6875,22.9375
13,132.101,1.93359375,-0.2578125,-9.8046875,131.585,0.001953125,-0.005859375,0.0,132.108,-10.125,36.375,23.3125
14,142.07600000000002,1.92578125,-0.23046875,-9.83984375,141.376,0.0,-0.005859375,0.0,141.887,-10.125,36.0,22.5625
15,152.032,1.89453125,-0.23828125,-9.8359375,151.51500000000001,0.0,-0.001953125,0.001953125,151.945,-9.8125,36.375,21.75
16,161.833,1.90625,-0.26953125,-9.79296875,161.828,0.0,0.0,0.0,161.726,-9.4375,36.0,22.125
17,171.88400000000001,1.89453125,-0.23828125,-9.77734375,171.83399999999997,0.0,0.0,0.0,171.891,-10.125,35.625,22.9375
18,183.562,1.88671875,-0.23046875,-9.875,181.667,0.0,0.0,0.0,183.572,-10.125,36.375,21.75
19,193.27,1.92578125,-0.21875,-9.80859375,191.886,0.0,0.0,0.0,193.38400000000001,-9.4375,35.25,21.75
20,203.124,1.90625,-0.19921875,-9.8515625,201.739,0.0,0.0,0.0,203.233,-10.5,36.6875,22.5625
21,212.98,1.93359375,-0.23828125,-9.79296875,211.59900000000002,0.001953125,0.0,0.0,213.088,-10.125,37.0625,23.375
22,222.958,1.9453125,-0.21875,-9.77734375,221.882,0.001953125,0.0,0.0,222.965,-10.5,36.375,22.5625
23,232.936,1.88671875,-0.26953125,-9.83984375,231.553,0.001953125,0.001953125,0.0,233.043,-10.125,36.0,22.125
24,242.728,1.89453125,-0.23046875,-9.8046875,241.447,0.001953125,0.001953125,0.0,242.737,-9.0625,36.6875,22.5625
25,252.76999999999998,1.89453125,-0.19921875,-9.80859375,251.39000000000001,0.001953125,0.001953125,0.0,252.88,-9.4375,35.25,22.125
26,262.698,1.92578125,-0.21875,-9.81640625,261.51000000000005,0.001953125,0.00390625,0.001953125,262.767,-10.875,35.625,23.375
