,Acc_ts,Acc_x,Acc_y,Acc_z,Gyro_ts,Gyro_x,Gyro_y,Gyro_z,Mag_ts,Mag_x,Mag_y,Mag_z
0,0.0,1.67578125,-11.09765625,-0.74609375,0.925,0.287109375,-0.490234375,-0.17578125,-14.98,-26.8125,73.625,15.4375
1,5.4879999999999995,1.58203125,-11.3671875,-0.61328125,3.438,0.365234375,-0.66015625,-0.20703125,5.633,-26.8125,73.625,15.4375
2,23.352,1.45703125,-11.484375,-0.0859375,23.361,0.28125,-0.46484375,0.18359375,23.435000000000002,-26.125,75.125,17.8125
3,31.16,1.25390625,-11.078125,-0.11328125,30.892,0.279296875,-0.3984375,0.310546875,30.869,-25.75,75.125,18.625
4,40.739999999999995,1.734375,-10.7265625,-0.32421875,40.686,0.279296875,-0.36328125,0.423828125,40.704,-25.0,75.5,18.625
5,50.85,1.8203125,-10.27734375,-0.3828125,50.855,0.28125,-0.3984375,0.4765625,50.84,-25.0,75.5,18.625
6,63.101000000000006,1.55078125,-9.30859375,-0.05859375,60.733000000000004,0.29296875,-0.416015625,0.44921875,63.17100000000001,-25.0,74.75,17.4375
7,72.995,1.84765625,-9.03515625,-0.1328125,70.777,0.302734375,-0.4453125,0.361328125,72.908,-25.375,76.1875,17.0625
8,82.891,1.9140625,-9.09375,-0.11328125,80.815,0.255859375,-0.451171875,0.25390625,82.803,-24.625,74.75,17.8125
9,92.673,1.83984375,-9.328125,0.23828125,90.732,0.181640625,-0.4375,0.189453125,92.78599999999999,-25.375,75.125,17.8125
10,102.589,1.734375,-9.6640625,0.53515625,100.728,0.0859375,-0.361328125,0.1484375,102.684,-25.375,73.6875,17.8125
11,111.168,1.62890625,-9.85546875,0.8046875,110.87700000000001,0.02734375,-0.228515625,0.171875,111.0,-23.9375,75.8125,17.8125
12,120.82900000000001,1.40625,-10.046875,1.109375,120.762,0.0078125,-0.103515625,0.25,120.891,-24.625,75.125,18.625
13,130.78699999999998,1.25390625,-10.17578125,1.03515625,130.81799999999998,0.068359375,0.02734375,0.359375,130.73000000000002,-25.0,75.125,17.0625
14,140.7,1.00390625,-10.19140625,0.5859375,140.88899999999998,0.109375,0.09765625,0.49609375,140.601,-25.375,76.9375,17.4375
15,150.726,0.96875,-10.015625,-0.125,150.804,0.12890625,0.08984375,0.6015625,150.944,-24.625,75.125,17.4375
16,163.298,0.73828125,-9.7265625,-0.74609375,163.107,0.0625,0.009765625,0.685546875,163.213,-23.9375,75.875,17.0625
17,173.257,0.7265625,-9.4140625,-0.8828125,173.26500000000001,-0.033203125,-0.126953125,0.70703125,173.37199999999999,-23.1875,75.875,18.25
18,183.293,1.03515625,-9.421875,-0.84375,183.302,-0.15625,-0.2265625,0.697265625,183.424,-23.5625,75.125,16.625
19,190.857,1.4375,-9.7734375,-0.7578125,190.804,-0.25,-0.26171875,0.69921875,190.864,-22.8125,76.1875,18.25
20,203.24200000000002,0.74609375,-10.3984375,-0.296875,203.362,-0.341796875,-0.34375,0.765625,203.494,-22.5,76.1875,17.4375
21,213.19,0.41015625,-10.6171875,0.26953125,213.294,-0.31640625,-0.404296875,0.890625,213.35299999999998,-22.8125,76.1875,18.25
22,223.304,0.4296875,-10.53515625,0.48046875,220.899,-0.25,-0.408203125,0.998046875,223.31,-21.75,76.1875,17.0625
23,233.08100000000002,0.6796875,-10.6171875,0.48828125,230.683,-0.19921875,-0.423828125,1.11328125,233.08599999999998,-22.5,76.5625,18.25
24,242.987,0.1640625,-10.6640625,0.125,240.81900000000002,-0.19921875,-0.298828125,1.189453125,242.993,-21.375,76.9375,19.4375
25,252.89099999999996,0.0859375,-10.625,-0.3046875,250.66899999999998,-0.283203125,-0.14453125,1.236328125,252.897,-21.375,75.5,18.625
26,260.778,0.0,-10.68359375,-0.59375,258.197,-0.39453125,-0.017578125,1.240234375,260.854,-20.3125,77.3125,19.0625
27,270.673,-0.3828125,-10.48828125,-0.640625,268.324,-0.546875,0.107421875,1.25,270.786,-19.9375,77.6875,19.0625
28,280.561,0.05859375,-10.51953125,-0.77734375,278.409,-0.662109375,0.24609375,1.2734375,280.66999999999996,-18.875,76.9375,19.0625
29,295.783,0.11328125,-10.6484375,-0.9296875,295.815,-0.705078125,0.271484375,1.2421875,295.834,-17.75,78.0,19.0625
30,308.181,-0.62109375,-10.98828125,-1.015625,305.892,-0.619140625,0.107421875,1.314453125,308.328,-17.375,77.3125,20.25
31,315.72,-1.38671875,-10.96484375,-0.98828125,315.743,-0.5234375,-0.15234375,1.44921875,315.907,-16.6875,78.375,20.625
32,322.188,-1.6484375,-10.98828125,-0.8984375,320.972,-0.4765625,-0.287109375,1.56640625,322.19199999999995,-16.3125,78.0625,20.25
33,330.797,-1.78125,-10.82421875,-0.8515625,330.775,-0.44140625,-0.5,1.7734375,330.861,-16.3125,77.6875,21.0
